Driver,LapNumber,TrackStatus,SafetyCar,VSC,YellowFlag,RedFlag,RecentSC,Race,Year
VER,1.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,2.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,3.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,4.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,5.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,6.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,7.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,8.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,9.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,10.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,11.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,12.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,13.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,14.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,15.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,16.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,17.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,18.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,19.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,20.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,21.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,22.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,23.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,24.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,25.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,26.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,27.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,28.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,29.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,30.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,31.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,32.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,33.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,34.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,35.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,36.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,37.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,38.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,39.0,12,0,0,1,0,0,Abu Dhabi Grand Prix,2022
VER,40.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,41.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
VER,42.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
